drugName,drugPrescStat,price,manufNo,maxDosage,disease,quantity
Tronothane 1% Cream,O, 0000.0000,003525,200,Mastocytosis  cutaneous  with short stature  conductive hearing loss and microtia,2000
Erythrocin Iv,P, 0000.0000,003525,200,Mandibulofacial dysostosis  Treacher Collins type  autosomal recessive,2000
Ees-200,P, 0000.0000,013965,200,Hoyeraal Hreidarsson syndrome,2000
Colchicine Tab 0.6mg,P, 0000.2770,003525,200,Classical Lissencephalies and Subcortical Band Heterotopias,2000
Erythrocin Filmtab 250mg,P, 0000.2333,003525,200,Rhinitis  Atrophic,2000
Duretic 5mg,P, 0000.0000,003525,200,Aplasia cutis congenita of limbs recessive,2000
Niacin 50mg Tablet 1609,O, 0000.0000,003525,200,Amyloidosis  Cerebroarterial  App-Related,2000
Ees-200 Chewable Tbs (Eryped),P, 0000.0000,003525,200,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME,2000
Isopto Carbachol 1.5%,P, 0000.0000,003594,200,Pelvic Organ Prolapse,2000
Isopto Carbachol 3%,P, 0000.0000,003594,200,Kidney Diseases  Cystic,2000
Isopto Tears 0.5%,O, 0000.0000,007277,200,Extravasation of Diagnostic and Therapeutic Materials,2000
Isopto Tears 1%,O, 0000.0000,007277,200,Charcot-Marie-Tooth disease  Type 2B2,2000
Isopto Carpine 0.5%,P, 0000.0000,003594,200,Mental Retardation  X-Linked 3,2000
Isopto Carpine,P, 0000.0000,007277,200,Paraganglioma,2000
Isopto Carpine Liq 6%,P, 0000.0000,003594,200,Hyaluronidase Deficiency,2000
Isopto Cetamide Dps 10%,P, 0000.0000,003594,200,Deafness conductive ptosis skeletal anomalies,2000
Mydriacyl,P, 0000.0000,007277,200,Amyloidosis  Cerebroarterial  App-Related,2000
Fenicol Ont 1%,P, 0000.0000,003594,200,Brain Diseases,2000
Chloroptic Dps 0.5%,P, 0000.0000,003574,200,Cerebral Small Vessel Diseases,2000
Herplex,P, 0000.0000,003574,200,Bronchomalacia,2000
Albalon,O, 0000.0000,003574,200,Frailty,2000
P.V. Carpine Liq 1%,P, 0000.2405,003574,200,Chondroblastoma,2000
P.V. Carpine Liq 4%,P, 0000.3146,003574,200,Mediastinitis,2000
Bleph 10 Dps,P, 0000.0000,003574,200,Accutane embryopathy,2000
Herplex D,P, 0000.0000,003574,200,Rozin Hertz Goodman syndrome,2000
Chloroptic Oph Ont 1%,P, 0000.0000,003574,200,Fatigue,2000
Xylocaine Endotracheal Aerosol 22gm,O, 0000.0000,000000,200,Onychogryposis  Pedal  with Keratosis Plantaris and Coarse Hair,2000
