Blue diaper syndrome,MESH:C536239,,,MESH:D000592|MESH:D005124|MESH:D006934|MESH:D007674,C11.250/C536239|C12.777.419/C536239|C13.351.968.419/C536239|C16.131.384/C536239|C16.320.565.100/C536239|C18.452.174.451/C536239|C18.452.648.100/C536239|C18.452.950.340/C536239,C11.250|C12.777.419|C13.351.968.419|C16.131.384|C16.320.565.100|C18.452.174.451|C18.452.648.100|C18.452.950.340,"Hypercalcemia, familial, with nephrocalcinosis and indicanuria",Congenital abnormality|Eye disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)
"Coronary Artery Disease, Autosomal Dominant, 1",MESH:C564258,OMIM:608320,,MESH:D003324|MESH:D009203,C14.280.647.250.260/C564258|C14.280.647.500/C564258|C14.907.137.126.339/C564258|C14.907.585.250.260/C564258|C14.907.585.500/C564258,C14.280.647.250.260|C14.280.647.500|C14.907.137.126.339|C14.907.585.250.260|C14.907.585.500,ADCAD1|Coronary Artery Disease With Myocardial Infarction,Cardiovascular disease
Prodromal Symptoms,MESH:D062706,,Clinical or physiological indicators that precede the onset of disease.,MESH:D012816,C23.888.672,C23.888,"Characteristic, Prodromal|Characteristics, Prodromal|Period, Prodromal|Periods, Prodromal|Prodromal Characteristic|Prodromal Characteristics|Prodromal Period|Prodromal Periods|Prodromal Sign|Prodromal Signs|Prodromal Stage|Prodromal Stages|Prodromal State|Prodromal States|Prodromal Symptom|Prodromal Syndrome|Prodromal Syndromes|Sign, Prodromal|Signs, Prodromal|Stage, Prodromal|Stages, Prodromal|State, Prodromal|States, Prodromal|Symptom, Prodromal|Symptoms, Prodromal|Syndrome, Prodromal|Syndromes, Prodromal",Signs and symptoms
"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51",OMIM:616739,,,MESH:D008607,C10.597.606.643/616739|C23.888.592.604.646/616739|F03.625.539/616739,C10.597.606.643|C23.888.592.604.646|F03.625.539,MRT51,Mental disorder|Nervous system disease|Signs and symptoms
Dystonia 16,MESH:C567430,,,MESH:D020821,C10.228.662.300/C567430,C10.228.662.300,DYT16,Nervous system disease
Calabro syndrome,MESH:C537960,,,MESH:D003251|MESH:D003398|MESH:D007714|MESH:D009056|MESH:D014564|MESH:D017880,C05.116.099.370.535/C537960|C05.116.099.370.894.232/C537960|C05.660.207.240/C537960|C05.660.551/C537960|C05.660.585/C537960|C05.660.906.364/C537960|C07.465.525/C537960|C07.650.525/C537960|C12.706/C537960|C13.351.875/C537960|C16.131.621.207.240/C537960|C16.131.621.551/C537960|C16.131.621.585/C537960|C16.131.621.906.364/C537960|C16.131.850.525/C537960|C16.131.939/C537960|C23.300.287/C537960,C05.116.099.370.535|C05.116.099.370.894.232|C05.660.207.240|C05.660.551|C05.660.585|C05.660.906.364|C07.465.525|C07.650.525|C12.706|C13.351.875|C16.131.621.207.240|C16.131.621.551|C16.131.621.585|C16.131.621.906.364|C16.131.850.525|C16.131.939|C23.300.287,,Congenital abnormality|Mouth disease|Musculoskeletal disease|Pathology (anatomical condition)|Urogenital disease (female)|Urogenital disease (male)
Classical Lissencephalies and Subcortical Band Heterotopias,MESH:D054221,DO:DOID:0060402|OMIM:247200|OMIM:300067,"Disorders comprising a spectrum of brain malformations representing the paradigm of a diffuse neuronal migration disorder. They result in cognitive impairment; SEIZURES; and HYPOTONIA or spasticity. Mutations of two genes, LIS1, the gene for the non-catalytic subunit of PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE IB; and DCX or XLIS, the gene for doublecortin, have been identified as the most common causes of disorders in this spectrum. Additional variants of classical (Type I) lissencephaly have been linked to RELN, the gene for reelin, and ARX, the gene for aristaless related homeobox protein. (From Leventer, R.J., et al, Mol Med Today. 2000 Jul;6(7):277-84 and Barkovich, A.J., et al, Neurology. 2005 Dec 27;65(12):1873-87.)",MESH:D038901|MESH:D054081|MESH:D054082,C10.500.507.450.230|C10.500.507.450.499.230|C16.131.666.507.450.230|C16.131.666.507.450.499.230|C16.320.322.500.186,C10.500.507.450|C10.500.507.450.499|C16.131.666.507.450|C16.131.666.507.450.499|C16.320.322.500,"Agyria Pachygyria Band Spectrum|Agyria-Pachygyria-Band Spectrum|Band Heterotopia, Lissencephaly-Subcortical|Chromosome 17p13.3 Deletion Syndrome|Classical Lissencephalies|Classical Lissencephaly|Classical Lissencephaly Syndrome|Classic Lissencephaly|DC SYNDROME, INCLUDED|Double Cortex Syndrome|DOUBLE CORTEX SYNDROME, INCLUDED|Heterotopia, Lissencephaly-Subcortical Band|Heterotopias, Lissencephaly-Subcortical Band|Heterotopias, Subcortical Band|Heterotopias, Subcortical Laminar|Heterotopia, Subcortical Band|Heterotopia, Subcortical Laminar|Isolated Lissencephaly Sequence|Lissencephalies, Classical|Lissencephalies, Type 1|Lissencephalies, X-Linked|Lissencephaly 1|LISSENCEPHALY AND AGENESIS OF CORPUS CALLOSUM SUBCORTICAL LAMINAR HETEROTOPIA, X-LINKED, INCLUDED|Lissencephaly, Classic|Lissencephaly, Classical|Lissencephaly, Miller Dieker|Lissencephaly, Miller-Dieker|Lissencephaly Sequence, Isolated|Lissencephaly Subcortical Band Heterotopia|Lissencephaly-Subcortical Band Heterotopia|Lissencephaly-Subcortical Band Heterotopias|Lissencephaly Syndrome, Miller Dieker|Lissencephaly Syndrome, Miller-Dieker|Lissencephaly Type 1|Lissencephaly, Type 1|Lissencephaly, X Linked|Lissencephaly, X-Linked|Lissencephaly, X-Linked, 1|LISX1|MDCR, INCLUDED|MDLS|MDS CHROMOSOME 17p13.3 DELETION SYNDROME, INCLUDED|Miller-Dieker Lissencephaly|Miller Dieker Lissencephaly Syndrome|Miller-Dieker Lissencephaly Syndrome|Miller Dieker Syndrome|Miller-Dieker Syndrome|MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED|SBH, INCLUDED|SCLH, INCLUDED|Subcortical Band Heterotopia|Subcortical Band Heterotopias|SUBCORTICAL BAND HETEROTOPIA, X-LINKED, INCLUDED|Subcortical Laminar Heterotopia|Syndrome, Double Cortex|Syndrome, Miller-Dieker|Syndrome, Miller-Dieker Lissencephaly|Type 1 Lissencephalies|Type 1 Lissencephaly|X-Linked Lissencephalies|X Linked Lissencephaly|X-Linked Lissencephaly|XLIS",Congenital abnormality|Genetic disease (inborn)|Nervous system disease
"Mandibulofacial dysostosis, Treacher Collins type, autosomal recessive",MESH:C535707,OMIM:248390,,MESH:D008342,C05.116.099.370.231.576/C535707|C05.660.207.231.576/C535707|C16.131.621.207.231.576/C535707,C05.116.099.370.231.576|C05.660.207.231.576|C16.131.621.207.231.576,"MANDIBULOFACIAL DYSOSTOSIS, TREACHER COLLINS TYPE, AUTOSOMAL RECESSIVE|TCS3|TREACHER COLLINS SYNDROME 3",Congenital abnormality|Musculoskeletal disease
Cone-Rod Dystrophy 12,MESH:C567206,OMIM:612657,,MESH:D012174,C11.270.684/C567206|C11.768.585.658.500/C567206|C16.320.290.684/C567206,C11.270.684|C11.768.585.658.500|C16.320.290.684,CORD12,Eye disease|Genetic disease (inborn)
Foot Deformities,MESH:D005530,,Alterations or deviations from normal shape or size which result in a disfigurement of the foot.,MESH:D009140,C05.330,C05,"Deformities, Foot|Deformities, Metatarsal|Deformity, Foot|Deformity, Metatarsal|Foot Deformity|Metatarsal Deformities|Metatarsal Deformity",Musculoskeletal disease
Amaurosis hypertrichosis,MESH:C536604,OMIM:217080,,MESH:D006983|MESH:D012174|MESH:D057130,C11.270.516/C536604|C11.270.684/C536604|C11.768.364/C536604|C11.768.585.658.500/C536604|C16.320.290.684/C536604|C17.800.329.875/C536604,C11.270.516|C11.270.684|C11.768.364|C11.768.585.658.500|C16.320.290.684|C17.800.329.875,"Amaurosis Congenita, Cone-Rod Type, with Congenital Hypertrichosis|Cone-rod congenital amaurosis associated with congenital hypertrichosis|CONE-ROD DYSTROPHY AND AMELOGENESIS IMPERFECTA|Congenital amaurosis cone-rod type with congenital hypertrichosis|JALILI SYNDROME",Eye disease|Genetic disease (inborn)|Skin disease
