drugName,drugPrescStat,price,manufNo,maxDosage,Disease
Tronothane 1% Cream,O, 0000.0000,003525,200,"Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"
Erythrocin Iv,P, 0000.0000,003525,200,"Mandibulofacial dysostosis, Treacher Collins type, autosomal recessive"
Ees-200,P, 0000.0000,013965,200,Hoyeraal Hreidarsson syndrome
Colchicine Tab 0.6mg,P, 0000.2770,003525,200,Classical Lissencephalies and Subcortical Band Heterotopias
Erythrocin Filmtab 250mg,P, 0000.2333,003525,200,"Rhinitis, Atrophic"
Duretic 5mg,P, 0000.0000,003525,200,Aplasia cutis congenita of limbs recessive
Niacin 50mg Tablet 1609,O, 0000.0000,003525,200,"Amyloidosis, Cerebroarterial, App-Related"
Ees-200 Chewable Tbs (Eryped),P, 0000.0000,003525,200,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME
Isopto Carbachol 1.5%,P, 0000.0000,003594,200,Pelvic Organ Prolapse
Isopto Carbachol 3%,P, 0000.0000,003594,200,"Kidney Diseases, Cystic"
Isopto Tears 0.5%,O, 0000.0000,007277,200,Extravasation of Diagnostic and Therapeutic Materials
Isopto Tears 1%,O, 0000.0000,007277,200,"Charcot-Marie-Tooth disease, Type 2B2"
Isopto Carpine 0.5%,P, 0000.0000,003594,200,"Mental Retardation, X-Linked 3"
Isopto Carpine,P, 0000.0000,007277,200,Paraganglioma
Isopto Carpine Liq 6%,P, 0000.0000,003594,200,Hyaluronidase Deficiency
Isopto Cetamide Dps 10%,P, 0000.0000,003594,200,Deafness conductive ptosis skeletal anomalies
Mydriacyl,P, 0000.0000,007277,200,"Amyloidosis, Cerebroarterial, App-Related"
Fenicol Ont 1%,P, 0000.0000,003594,200,Brain Diseases
Chloroptic Dps 0.5%,P, 0000.0000,003574,200,Cerebral Small Vessel Diseases
Herplex,P, 0000.0000,003574,200,Bronchomalacia
Albalon,O, 0000.0000,003574,200,Frailty
P.V. Carpine Liq 1%,P, 0000.2405,003574,200,Chondroblastoma
P.V. Carpine Liq 4%,P, 0000.3146,003574,200,Mediastinitis
Bleph 10 Dps,P, 0000.0000,003574,200,Accutane embryopathy
Herplex D,P, 0000.0000,003574,200,Rozin Hertz Goodman syndrome
Chloroptic Oph Ont 1%,P, 0000.0000,003574,200,Fatigue
Xylocaine Endotracheal Aerosol 22gm,O, 0000.0000,000000,200,"Onychogryposis, Pedal, with Keratosis Plantaris and Coarse Hair"
Jectofer 50 Mg/Ml,P, 0000.0000,009307,200,Microphthalmia associated with colobomatous cyst
Xylocaine Oral Spray,O, 0000.0000,000000,200,Mandibular Injuries
Penbritin Cap 250mg,P, 0000.4136,003691,200,"AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE"
Penbritin Cap 500mg,P, 0000.8392,003691,200,Chromosome 18 Pericentric Inversion
Orbenin Cap 250mg,P, 0000.4067,003691,200,"Kidney Diseases, Cystic"
Orbenin Cap 500mg,P, 0001.5120,003691,200,"Hearing Loss, Unilateral"
Penbritin Inj 250mg,P, 0000.0000,003691,200,Factor VII Deficiency
Penbritin Inj 2000mg,P, 0000.0000,003691,200,"Hemangiomatosis, Disseminated"
Pyopen Inj 1gm,P, 0000.0000,003691,200,Hyaline Membrane Disease
Orbenin Inj 250mg,P, 0000.0000,003691,200,Blue diaper syndrome
Penicillin G Potassium Inj 1000000iu,P, 0000.0000,003691,200,Bleeding Disorder due to Defective Thromboxane A2 Receptor
Penicillin G Potassium Inj 5000000iu,P, 0000.0000,003691,200,Oslam syndrome
Penicillin G Potassium Inj 10000000iu,P, 0000.0000,003691,200,Hearing Disorders
Penicillin G Sodium Inj 1000000iu,P, 0000.0000,003691,200,Brain Diseases
Penicillin G Sodium Inj 5000000iu,P, 0000.0000,003691,200,Osteosclerosis
Penicillin G Sodium Inj 10000000iu,P, 0000.0000,003691,200,Nidovirales Infections
Protopam Chloride Inj 1gm,P, 0000.0000,003691,200,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38"
Premarin Inj 25mg/5ml,P, 0000.0000,003691,200,Hereditary Diffuse Leukoencephalopathy with Spheroids
Inderal Inj 1mg,P, 0000.0000,003691,200,"Faciocardiomelic Dysplasia, Lethal"
Phospholine Iodide Dps 6.25mg/5ml,P, 0000.0000,003691,200,Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia
Phospholine Iodide Dps 12.5mg/5ml,P, 0000.0000,003691,200,"Bulbo-Spinal Atrophy, X-Linked"
Ayercillin Suspension,P, 0000.0000,003691,200,Connective Tissue Nevus
Penbritin Pws 125mg/5ml,P, 0000.0000,003691,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 2"
Orbenin Pwr 125mg/5ml,P, 0000.1489,003691,200,DEVELOPMENTAL DYSPLASIA OF THE HIP 1
Premarin Tab 0.625mg,P, 0000.0000,003691,200,"Carbohydrate Metabolism, Inborn Errors"
Premarin Tab 2.5mg,P, 0000.0000,003691,200,"Hypogonadotropic hypogonadism and anosmia, autosomal dominant"
Mysoline Tab 125mg,P, 0000.0609,003691,200,"Carbohydrate Metabolism, Inborn Errors"
Inderal Tab 10mg,P, 0000.0796,003691,200,"Diabetes Mellitus, Insulin-Dependent, 22"
Inderal Tab 40mg,P, 0000.1416,003691,200,Neoplasm Micrometastasis
Entacyl Granules 2.0gm,O, 0000.0000,000000,200,MENTAL HEALTH WELLNESS 2
Ergometrine Inj 0.25mg,P, 0000.0000,000000,200,Kleefstra Syndrome
Ergometrine Inj 0.5mg,P, 0000.0000,000000,200,BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY
Radiostol Solution 100000iu/Ml,P, 0000.0000,000000,200,Atelosteogenesis type 2
Radiostol Forte 300000iu,P, 0000.0000,000000,200,Amaurosis hypertrichosis
Entacyl Susp 0.6gm/5ml,O, 0000.0000,000000,200,"Krabbe Disease, Atypical, due to Saposin A Deficiency"
Carbachol Tab 2mg,P, 0000.0000,000000,200,Chorea
Quinidine Sulphate Tab 200mg,O, 0000.0000,000000,200,"MICROPHTHALMIA, ISOLATED 6"
Propaderm Ointment 0.025%,P, 0000.0000,000000,200,Bluetongue
Dulcolax,O, 0000.0000,003617,200,Neuropathy ataxia and retinitis pigmentosa
Alupent Tab 20mg,P, 0000.0000,003617,200,"Cystitis, Interstitial"
Dynapen Cap 250mg,P, 0000.0000,003801,200,"Nose Deformities, Acquired"
Ampicin For Injection 250mg,P, 0000.0000,003801,200,Navajo neurohepatopathy
Ampicin Inj 1gm,P, 0000.0000,003801,200,Griscelli syndrome type 3
Aerosporin Sterile Powder,P, 0000.0000,000000,200,Retrognathia
Lanoxin Inj 0.05mg/Ml Pediatric,P, 0000.0000,000000,200,"Encephalitis, Tick-Borne"
Lanoxin Inj 0.25mg/Ml,P, 0000.0000,000000,200,Brugada Syndrome 8
Vasoxyl Inj 20mg/Ml,P, 0000.0000,000000,200,Acute Disease
Sudafed Syr 30mg/5ml,O, 0000.0000,000000,200,"Neoplasms, Fibrous Tissue"
Imuran,P, 0000.2597,017065,200,Encephalocele
